,PermitType,PermitTypeDesc,PermitNum,PermitClassMapped,PermitClass,WorkClass,Condominium,ProjectName,TCAD_ID,AppliedDate,IssuedDate,DayIssued,CalendarYearIssued,StatusDate,ExpiresDate,CompletedDate,TotalExistingBldgSQFT,RemodelRepairSQFT,TotalNewAddSQFT,TotalValuationRemodel,TotalJobValuation,NumberOfFloors,HousingUnits,Key,OriginalAddress1,OriginalCity,OriginalState,OriginalZip,ProjectID,MasterPermitNum,Latitude,Longitude,Location,BlockGroupCode
5848,BP,Building Permit,2017-016170 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,1400 GLENWOOD DR,225170810,12/21/2016,2/15/2017,WEDNESDAY,2017,5/3/2017,5/3/2017,5/3/2017,,,150,$0.00 ,"$15,000.00 ",1.0,1,5849,1400 GLENWOOD DR,AUSTIN,TX,78723,11671594,11649333.0,30.31959389,-97.69567681,"(30.31959389, -97.69567681)",484530021041
5849,BP,Building Permit,2017-016150 BP,Residential,R- 330  Accessory Use to Primary,New,No,7520 FIREOAK DR,162071001,11/23/2016,2/14/2017,TUESDAY,2017,9/13/2017,9/13/2017,9/13/2017,,,378,,"$45,000.00 ",0.0,0,5850,7520 FIREOAK DR,AUSTIN,TX,78759,11671572,11636599.0,30.41896785,-97.77557293,"(30.41896785, -97.77557293)",484530017551
5850,BP,Building Permit,2017-016105 BP,Residential,R- 101 Single Family Houses,New,No,7508 PECCARY DR,334080404,1/20/2017,2/13/2017,MONDAY,2017,5/31/2017,5/31/2017,5/31/2017,,,"2,641",,"$147,375.00 ",1.0,1,5851,7508 PECCARY DR,AUSTIN,TX,78744,11671523,11660951.0,30.16045663,-97.72877084,"(30.16045663, -97.72877084)",484530000000
5851,BP,Building Permit,2017-016071 BP,Residential,R- 101 Single Family Houses,New,No,7801 DOWNING ST,166070201,2/10/2017,2/10/2017,FRIDAY,2017,8/10/2017,8/9/2017,,,,"1,477",,$800.00 ,1.0,1,5852,7801 DOWNING ST,AUSTIN,TX,78759,11671484,11671477.0,30.43075906,-97.77270189,"(30.43075906, -97.77270189)",484530017561
5852,BP,Building Permit,2017-016070 BP,Residential,R- 101 Single Family Houses,New,No,4710 HERZOG ST,219160609,1/30/2017,2/14/2017,TUESDAY,2017,9/22/2017,9/22/2017,9/22/2017,,,"3,644",,"$535,000.00 ",2.0,1,5853,4710 HERZOG ST,AUSTIN,TX,78723,11671483,11665016.0,30.29923566,-97.69875302,"(30.29923566, -97.69875302)",484530000000
5853,BP,Building Permit,2017-016042 BP,Residential,R- 101 Single Family Houses,New,No,4617 KOCUREK ST,219160609,1/30/2017,2/13/2017,MONDAY,2017,8/25/2017,8/25/2017,8/25/2017,,,"3,127",,"$465,000.00 ",2.0,1,5854,4617 KOCUREK ST,AUSTIN,TX,78723,11671451,11665018.0,30.29944511,-97.6991752,"(30.29944511, -97.6991752)",484530000000
5854,BP,Building Permit,2017-016005 BP,Residential,R- 101 Single Family Houses,New,No,11204 DAWES PL,243300917,1/30/2017,2/14/2017,TUESDAY,2017,9/7/2017,9/7/2017,9/7/2017,,,"2,021",,"$90,480.00 ",1.0,1,5855,11204 DAWES PL,AUSTIN,TX,78754,11671409,11665546.0,30.36843221,-97.64861228,"(30.36843221, -97.64861228)",484530000000
5855,BP,Building Permit,2017-015994 BP,Residential,R- 101 Single Family Houses,New,No,7115 CALPE DR  **PRODUCTION BUILDER REG FEE**,430530838,1/30/2017,2/13/2017,MONDAY,2017,9/27/2017,9/27/2017,9/27/2017,,,"3,350",,"$196,050.00 ",2.0,1,5856,7115 CALPE DR,AUSTIN,TX,78739,11671394,11665053.0,30.1746723,-97.91707771,"(30.1746723, -97.91707771)",484530000000
5856,BP,Building Permit,2017-015961 BP,Residential,R- 101 Single Family Houses,New,No,12400 CARDINAL FLOWER DR,432440228,1/30/2017,2/14/2017,TUESDAY,2017,10/4/2017,10/4/2017,10/4/2017,,,"2,626",,"$196,950.00 ",1.0,1,5857,12400 CARDINAL FLOWER DR,AUSTIN,TX,78739,11671357,11665056.0,30.16731314,-97.89317834,"(30.16731314, -97.89317834)",484530000000
5857,BP,Building Permit,2017-015946 BP,Residential,R- 101 Single Family Houses,New,No,13205 HOUTMAN DR,254401501,1/25/2017,2/14/2017,TUESDAY,2017,11/28/2017,11/28/2017,11/28/2017,,,"3,054",,"$233,990.00 ",2.0,1,5858,13205 HOUTMAN DR,AUSTIN,TX,78660,11671336,11663508.0,30.39117859,-97.61935535,"(30.39117859, -97.61935535)",484530000000
5858,BP,Building Permit,2017-015923 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,2901 WESTLAKE CV,121090345,11/16/2016,2/15/2017,WEDNESDAY,2017,6/6/2017,6/6/2017,6/6/2017,,,0,"$2,871.00 ","$2,871.00 ",1.0,1,5859,2901 WESTLAKE CV,AUSTIN,TX,78746,11671309,11633466.0,30.31101824,-97.77948023,"(30.31101824, -97.77948023)",484530019132
5859,BP,Building Permit,2017-015918 BP,Residential,R- 101 Single Family Houses,New,No,13717 CAMP COMFORT LN,R530307,1/25/2017,2/10/2017,FRIDAY,2017,8/8/2017,8/8/2017,8/8/2017,,,"4,502",,"$203,445.00 ",1.0,1,5860,13717 CAMP COMFORT LN,AUSTIN,TX,78717,11671304,11663296.0,30.48478947,-97.78847432,"(30.48478947, -97.78847432)",484530000000
5860,BP,Building Permit,2017-015892 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,4419 RAMSEY AVE,223021220,4/1/2016,2/10/2017,FRIDAY,2017,5/2/2017,5/2/2017,5/2/2017,,,53,,"$1,800.00 ",1.0,1,5861,4419 RAMSEY AVE,AUSTIN,TX,78756,11671275,11509994.0,30.31598743,-97.74325732,"(30.31598743, -97.74325732)",484530002042
5861,BP,Building Permit,2017-015865 BP,Residential,R- 329 Res Structures Other Than Bldg,New,No,11913 ARRAN ST,239430184,1/27/2017,3/1/2017,WEDNESDAY,2017,10/5/2017,10/5/2017,10/5/2017,,,80,,"$45,000.00 ",0.0,0,5862,11913 ARRAN ST,AUSTIN,TX,78754,11671237,11664295.0,30.35732775,-97.61513507,"(30.35732775, -97.61513507)",484530000000
